No,Product Type,Color Palette Name,Primary Color,Secondary Color,Accent Color,Success Color,Warning Color,Error Color,Background Color,Text Color,Contrast Ratio (AA),Contrast Ratio (AAA),Accessibility Note,Vibe
113,Voice Recorder,Audio Pulse,#EF4444 (Recording Red),#FCA5A5 (Light Red),#111827 (Black),#10B981 (Green),#FBBF24 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Capture focus,Modern
114,Bookmark & Read,Reading Paper,#78350F (Brown),#A16207 (Tan),#2563EB (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FDFBF7 (Cream),#431407 (Ink),4.5+,7+,Information focus,Peaceful
115,Translator App,Global Connect,#2563EB (Blue),#3B82F6 (Light Blue),#10B981 (Success),#16A34A (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Communication,Intelligent
116,Calculator,Math Focus,#111827 (Black),#EA580C (Orange),#374151 (Grey),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Functional focus,Functional
117,Alarm & Clock,Time Dark,#000000 (Black),#1F2937 (Grey),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#000000 (Black),#FFFFFF (White),7+,21+,Night-time focus,Reliable
118,File Manager,Storage Navy,#1E3A8A (Navy),#3B82F6 (Blue),#F97316 (Orange),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Organization,Reliable
119,Email Client,Inbox White,#2563EB (Blue),#EFF6FF (Light Blue),#DC2626 (Urgent),#16A34A (Green),#F59E0B (Snooze),#EF4444 (Delete),#FFFFFF (White),#111827 (Black),4.5+,7+,Readability focus,Reliable
120,Casual Puzzle Game,Fun Tiles,#F43F5E (Rose),#FB7185 (Pink),#FACC15 (Gold),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#4C0519 (Dark Rose),4.5+,7+,Playful engagement,Cheerful
121,Trivia & Quiz,Quiz Energy,#3B82F6 (Blue),#60A5FA (Light Blue),#FACC15 (Gold),#10B981 (Correct),#F59E0B (Amber),#EF4444 (Wrong),#FFFFFF (White),#1E1B4B (Navy),4.5+,7+,Intellectual energy,Exciting
122,Card & Board Game,Classic Play,#15803D (Felt Green),#166534 (Dark Green),#FFD700 (Gold),#16A34A (Green),#FBBF24 (Yellow),#DC2626 (Red),#1A1A1A (Dark),#FDFDFD (White),4.5+,7+,Traditional feel,Sophisticated
123,Idle & Clicker,Progress Pulse,#F59E0B (Gold),#FBBF24 (Yellow),#8B5CF6 (Prestige),#10B981 (Green),#F97316 (Orange),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Growth energy,Exciting
124,Word Game,Letter Tile,#FACC15 (Yellow),#FEF08A (Light Yellow),#10B981 (Success),#16A34A (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#451A03 (Brown),4.5+,7+,Focus on letters,Intelligent
125,Arcade Game,Neon Retro,#FF00FF (Magenta),#00FFFF (Cyan),#FFFF00 (Yellow),#00FF00 (Green),#FFA500 (Orange),#FF0000 (Red),#000000 (Black),#FFFFFF (White),7+,21+,High-speed energy,Exciting
126,Photo Editor,Editor Dark,#121212 (Dark),#3B82F6 (Blue),#10B981 (Green),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#121212 (Dark),#FFFFFF (White),7+,21+,Focus on image,Modern
127,Short Video Editor,Video Pulse,#000000 (Black),#E50914 (Red),#6366F1 (Indigo),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#000000 (Black),#FFFFFF (White),7+,21+,Focus on media,Exciting
128,Drawing & Sketch,Artist Canvas,#FFFFFF (White),#F3F4F6 (Grey),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#000000 (Black),7+,21+,Creative focus,Artistic
129,Music Creation,Studio Dark,#111111 (Black),#6366F1 (Indigo),#EC4899 (Pink),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#111111 (Black),#FFFFFF (White),7+,21+,Audio focus,Modern
130,Meme Maker,Viral Comedy,#FFFF00 (Yellow),#000000 (Black),#FF0000 (Red),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#000000 (Black),4.5+,7+,High saturation,Cheerful
131,AI Photo Gen,AI Aurora,#6366F1 (AI Purple),#EC4899 (Pink),#00FFFF (Cyan),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#0F172A (Midnight),#FFFFFF (White),4.5+,7+,Generation focus,Intelligent
132,Link-in-Bio,Profile Social,#111827 (Black),#FFFFFF (White),#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Identity focus,Connected
133,Wardrobe Planner,Fashion Neutral,#111827 (Black),#F9FAFB (Light Grey),#D4AF37 (Gold),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Clothing focus,Elegant
134,Plant Care,Nature Green,#15803D (Green),#F0FDF4 (Light Green),#3B82F6 (Water Blue),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#064E3B (Dark Green),4.5+,7+,Life & growth,Lively
135,Book Tracker,Literary Paper,#78350F (Brown),#FDFBF7 (Cream),#15803D (Read Green),#16A34A (Green),#FBBF24 (Yellow),#EF4444 (Red),#FDFBF7 (Cream),#431407 (Ink),4.5+,7+,Reading focus,Peaceful
136,Couple App,Heart Warmth,#F43F5E (Rose),#FB7185 (Pink),#8B5CF6 (Violet),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFF1F2 (Cream),#4C0519 (Dark),4.5+,7+,Intimate focus,Romantic
137,Family Calendar,Family Unity,#3B82F6 (Blue),#10B981 (Green),#F59E0B (Amber),#22C55E (Green),#F97316 (Orange),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Shared focus,Friendly
138,Mood Tracker,Emotional Spectrum,#6366F1 (Calm Blue),#FACC15 (Happy Yellow),#EC4899 (Love Pink),#10B981 (Green),#F97316 (Warning),#EF4444 (Error),#FFFFFF (White),#111827 (Black),4.5+,7+,Self-reflection,Peaceful
139,Gift & Wishlist,Celebrate Gold,#D4AF37 (Gold),#FDF4FF (Pink),#DC2626 (Red),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Gift-giving joy,Cheerful
140,Running & Cycling,Endurance Orange,#F97316 (Orange),#FB923C (Light Orange),#111827 (Black),#22C55E (Green),#FBBF24 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Physical energy,Active
141,Yoga App,Muted Earth,#6B7280 (Slate),#D1D5DB (Light Grey),#15803D (Green),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#F9FAFB (White),#1F2937 (Dark),4.5+,7+,Flexibility focus,Peaceful
142,Sleep Tracker,Midnight Quiet,#020617 (Midnight),#1E293B (Slate),#FBBF24 (Moon),#10B981 (Green),#F59E0B (Amber),#EF4444 (Red),#020617 (Midnight),#FFFFFF (White),7+,21+,Rest focus,Safe
143,Calorie Counter,Healthy Intake,#16A34A (Green),#DC2626 (Red),#2563EB (Blue),#16A34A (Green),#FACC15 (Yellow),#EF4444 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Nutritional balance,Active
144,Period Tracker,Body Cycles,#F43F5E (Rose),#FB7185 (Pink),#8B5CF6 (Lavender),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFF1F2 (Cream),#4C0519 (Dark Rose),4.5+,7+,Cycle focus,Safe
145,Medication Remind,Medical Safety,#2563EB (Blue),#FFFFFF (White),#EF4444 (Alert),#16A34A (Success),#F59E0B (Amber),#DC2626 (Red),#FFFFFF (White),#1E293B (Dark),7+,21+,Security focus,Safe
146,Water Reminder,Hydration Blue,#0EA5E9 (Blue),#38BDF8 (Light Blue),#FFFFFF (White),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#F0F9FF (Light Blue),#0C4A6E (Dark Blue),4.5+,7+,Freshness focus,Friendly
147,Fasting Timer,Metabolic Focus,#4F46E5 (Indigo),#10B981 (Eating Window),#1F2937 (Fasting),#16A34A (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Timing focus,Active
148,Anonymous Comm,Privacy Grey,#374151 (Grey),#111827 (Dark Grey),#10B981 (Upvote),#16A34A (Green),#F59E0B (Amber),#EF4444 (Report),#111827 (Black),#F9FAFB (White),7+,21+,Secretive focus,Safe
149,Local Discovery,City Vibrant,#F43F5E (Rose),#2563EB (Blue),#FACC15 (Yellow),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Urban energy,Lively
150,Study Together,Shared Focus,#4F46E5 (Indigo),#F5F3FF (Light Indigo),#10B981 (Online),#22C55E (Green),#F59E0B (Amber),#EF4444 (Red),#FFFFFF (White),#1E1B4B (Navy),4.5+,7+,Productivity,Connected
151,Coding Challenge,Logic Console,#111827 (Black),#1DB954 (Success Green),#6366F1 (Indigo),#22C55E (Green),#FBBF24 (Yellow),#EF4444 (Red),#111827 (Black),#FFFFFF (White),7+,21+,Technical focus,Modern
152,Kids Learning,Primary ABC,#3B82F6 (Blue),#EF4444 (Red),#FACC15 (Yellow),#10B981 (Green),#F97316 (Orange),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Educational safety,Cheerful
153,Music Lessons,Harmony Warmth,#7C2D12 (Brown),#D4AF37 (Gold),#2563EB (Blue),#16A34A (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFF7ED (Cream),#431407 (Dark Brown),4.5+,7+,Musical heritage,Elegant
154,Parking Finder,Spot Navigation,#2563EB (Blue),#10B981 (Available),#EF4444 (Occupied),#16A34A (Green),#FACC15 (Yellow),#DC2626 (Red),#FFFFFF (White),#1F2937 (Dark),4.5+,7+,Utility focus,Reliable
155,Public Transit,Line Transit,#EF4444 (Red Line),#2563EB (Blue Line),#16A34A (Active),#10B981 (Green),#FBBF24 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Fast information,Reliable
156,Road Trip,Adventure Road,#F97316 (Orange),#0EA5E9 (Sky),#15803D (Forest),#16A34A (Green),#FBBF24 (Yellow),#DC2626 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Freedom energy,Adventurous
157,VPN & Privacy,Shield Security,#111827 (Black),#10B981 (Connected),#DC2626 (Disconnected),#16A34A (Green),#F59E0B (Amber),#EF4444 (Red),#0F172A (Dark Blue),#FFFFFF (White),7+,21+,Security focus,Reliable
158,Emergency SOS,Life Alert,#EF4444 (Alert Red),#FFFFFF (White),#2563EB (Safety Blue),#22C55E (Green),#FBBF24 (Yellow),#991B1B (Deep Red),#FFFFFF (White),#111827 (Black),7+,21+,Critical focus,Safe
159,Wallpaper App,Gallery Visual,#000000 (Black),#FFFFFF (White),#EC4899 (Pink),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#000000 (Black),7+,21+,Content focus,Artistic
160,White Noise,Ambient Calm,#1F2937 (Slate),#374151 (Grey),#0EA5E9 (Sleep Blue),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#0F172A (Midnight),#FFFFFF (White),7+,21+,Relaxation focus,Peaceful
161,Home Decoration,Interior Style,#FFFFFF (White),#F9FAFB (Light Grey),#B45309 (Amber),#10B981 (Green),#FBBF24 (Yellow),#EF4444 (Red),#FFFFFF (White),#111827 (Black),4.5+,7+,Design focus,Elegant
162,
The above content shows the entire, complete file contents of the requested file.
